level_id,difficulty_rate
1,0.32
2,0.37
3,0.1
4,0.28
5,0.1
6,0.2
7,0.17
8,0.1
9,0.24
10,0.21
11,0.35
12,0.26
13,0.4
14,0.21
15,0.19
16,0.18
17,0.16
18,0.1
19,0.18
20,0.1
21,0.25
22,0.1
23,0.11
24,0.13
25,0.18
26,0.2
27,0.31
28,0.14
29,0.25
30,0.4
31,0.58
32,0.46
33,0.34
34,0.46
35,0.32
36,0.55
37,0.52
38,0.3
39,0.5
40,0.6
41,0.42
42,0.37
43,0.3
44,0.3
45,0.6
46,0.46
47,0.6
48,0.6
49,0.6
50,0.39
51,0.53
52,0.38
53,0.36
54,0.57
55,0.33
56,0.3
57,0.32
58,0.44
59,0.6
60,0.4
61,0.6
62,0.47
63,0.6
64,0.6
65,0.6
66,0.3
67,0.54
68,0.6
69,0.58
70,0.6
71,0.51
72,0.35
73,0.3
74,0.37
75,0.6
76,0.4
77,0.3
78,0.6
79,0.6
80,0.6
81,0.59
82,0.6
83,0.6
84,0.35
85,0.31
86,0.3
87,0.45
88,0.6
89,0.6
90,0.6
91,0.3
92,0.36
93,0.3
94,0.6
95,0.6
96,0.6
97,0.3
98,0.6
99,0.45
100,0.3
101,0.66
102,0.74
103,0.81
104,0.78
105,0.59
106,0.9
107,0.78
108,0.69
109,0.9
110,0.62
111,0.56
112,0.9
113,0.9
114,0.73
115,0.79
116,0.63
117,0.8
118,0.73
119,0.78
120,0.86
121,0.64
122,0.75
123,0.53
124,0.75
125,0.79
126,0.83
127,0.84
128,0.9
129,0.57
130,0.58
131,0.88
132,0.5
133,0.83
134,0.62
135,0.9
136,0.84
137,0.77
138,0.9
139,0.64
140,0.67
141,0.61
142,0.67
143,0.81
144,0.87
145,0.9
146,0.53
147,0.77
148,0.63
149,0.77
150,0.9
151,0.84
152,0.9
153,0.9
154,0.9
155,0.73
156,0.61
157,0.8
158,0.71
159,0.57
160,0.84
161,0.84
162,0.9
163,0.75
164,0.84
165,0.7
166,0.9
167,0.78
168,0.62
169,0.8
170,0.86
171,0.84
172,0.9
173,0.58
174,0.67
175,0.9
176,0.69
177,0.84
178,0.5
179,0.9
180,0.76
181,0.9
182,0.75
183,0.86
184,0.9
185,0.9
186,0.77
187,0.78
188,0.9
189,0.9
190,0.83
191,0.9
192,0.76
193,0.9
194,0.9
195,0.74
196,0.69
197,0.9
198,0.72
199,0.67
200,0.7
